,time,text,support,against,post_id,year,month,keyword
0,2019年8月14日 07:19:54,"['816 撳錢！撳錢！撳錢！', '', '', '', '', '']",0,0,1471827,2019,8,打壓
1,2019年8月14日 06:26:26,"['Ending speech：', 'https://www.youtube.com/watch?v=l8PsRfU2-V8', '', '我感覺到右眼傳嚟嘅痛楚，煙霧、槍聲、流血⋯ 恐懼。無情嘅鎮壓再次推進。我忍住痛嘗試企起身，睇住速龍走嚟捉住我，我已經心中有數，往後嘅人生都將會改寫。', '', '唔理你準備好未，你所規劃嘅人生都會一瞬間走樣。生於亂世，總要面對呢種事。呢個唔係我想要嘅人生，但我責無旁貸。', '', '香港，我哋嘅屋企。撕裂過後，又再團結一致。', '', '我以為⋯ 我有諗過同屋企人可以自欺欺人噉正常過生活。但依家我明白，我知道已經冇得返轉頭。我知道香港已經變咗，前面嘅路會更加難行。', '', '今次，我已經準備好，因為我知道打壓⋯ 打壓從來冇停過。']",0,0,1471827,2019,8,打壓
2,2022年3月31日 10:36:31,"['收錢洗香港人腦', '大陸一堆腦殘仲洗咩腦']",0,0,2949344,2022,3,打壓
3,2022年3月31日 10:14:04,"['其實為何的藍營人士的Youtube給人打壓都不改用Bilibili', 'eg 何志光聲稱話自己的片黃標']",0,0,2949344,2022,3,打壓
4,2017年8月11日 11:32:42,['紅磚一向都係壓落來 讀過就知校長好撚多野都唔知 係想搞大件事就call記者踩上校長度屌柒佢 唔係無人會幫你 紅磚d管理層係咁仆街'],265,2,355930,2017,8,打壓
5,2017年8月11日 11:30:49,['係到講有咩用，send去蘋果推上報好過啦'],135,3,355930,2017,8,打壓
6,2017年8月11日 12:30:32,"['Icon Bistro?', '你比錢搵律師同你報案啦，警察態度180度會轉變', '100% 要咁做', '要記住，Poly同警方一定會叫你和解，千其唔好表示有任何意思想和解。', '因為之後你想再投訴，就會以你已作和解為由決絕。', 'Btw, 同Poly同警方有任何接觸都要作記錄，可以用埋錄音都唔怕。冇記錯香港係可以係唔使通知對方下錄音。', '', 'Btw，夢見電視劇D主角會錄到唔少對方誤導，引導，甚至恐嚇既說話，然後會放上court播', '', '如果你依單野係美國發生，首先學校賠錢，鬼婆，其他同事要賠錢，洲政府要代警方賠錢，而且有哂醫療記錄，最少係千萬港紙起跳，大把律師幫你搞。不過香港就另一回事啦。']",107,0,355930,2017,8,打壓
7,2017年8月11日 21:00:05,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '既然你當花生咁食就等我話你聽', '1.唔該積下口德啦你，如果係你阿媽俾人搞你聽到呢啲comment會有咩感受？', '2.邊個話你聽佢非禮人嘅時候其他人有睇到？之前有cctv影到都俾垃圾學院洗曬啦。佢而家就係繼續係到做，你假設有文化嘅人就唔會犯罪係咩邏輯？', '3.都冇開過名你點知係邊位阿姐？咁快講定負面野？？我阿媽出名勤力唔出聲唔講是非，佢同啲同學關係唔錯，你唔好係到老屈啦，一係你就搞錯阿姐，一係你就學院打手。', '4.你知唔知佢寫左幾多次封信呀？就算佢封道歉信想玩食字，都有meetint錄音證明佢已經承認件事。所謂不必要嘅誤會只係為佢自己辯解，你又知幾多內情？正常學生無理由知道，你係咪男上司啲frd扮學生', '5.前面已經講左，發生件事後已經調左佢俾鬼婆上司，冇再跟個男上司。唔係我媽媽做錯憑咩要佢辭職？你如果唔係我媽啲垃圾同事點會話我係港大學生？唔好扮學生啦仆街，我知你地班人架啦。', '', '你所謂嘅美好大學環境就係由不斷打壓下層掩蓋醜聞得來，有小小邏輯都知你根本就係學院入面啲人，我行得呢一步已經唔怕你地打壓，我一定會要你地全部為自己做過嘅野負責，不服來辯。']",57,3,355930,2017,8,打壓
8,2017年8月11日 11:45:26,['其實讀緊酒店管理嘅同學翻學係廚房會見到果堆恐嚇嘅人，大家要小心'],40,2,355930,2017,8,打壓
9,2017年8月11日 12:25:17,"['直接sd 上apple daily, 封道歉信都比埋佢，有時唔搞大件事，poly 果邊係唔會理，情況就似中學欺凌，學校緊係想大事化小，你只有搞大佢，學校先會比個答覆你']",37,0,355930,2017,8,打壓
10,2017年8月11日 20:47:17,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '喂 語癌企開啲啦 屌你老母 仲話大學生 笑撚死人咩']",39,5,355930,2017,8,打壓
11,2017年8月11日 21:23:08,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '', '1:你唔比條友對人妻情有獨鍾，鍾意搞人妻？', '樓主媽媽靚唔靚我唔知', '但陳冠希都食得落cammi啦，', '一定要搞靚女架？', '', '2:如果想搞人，你覺得會揚哂出去？', '你傻撚左咩', '揚左出去比人知道，只會整臭自己聲譽！', '咁緊係偷偷地私底下性騷擾架啦！', '咁d同事又點作證呀', '', '3:懶唔懶係你自己講', '就算懶...又如何？', '佢比人性騷擾係事實', '佢工傷係事實', '佢比人打壓都係事實', '係你角度，係咪一定要好認真工作既人先值得幫？', '咁好懶既人係咪即使比人強奸都係抵佢死呀？', '', '4:冇做錯又點會寫道歉信呀？', '你話道歉不必要嘅誤會', '咩誤會？', '我唔知條友點樣性騷擾樓主媽媽', '但係你眼中可能摸胸摸屁股', '傾咸濕野約開房都可以係「誤會」架', '事後講句飲多左酒，醉左', '做過既事都可以成為「誤會」', '', '5:我唔清楚樓主既家庭狀況，不便評論', '但樓主媽媽冇做錯，點解要quit?', '', '最後，可能好多人都話條友唔似會咁做既人', 'Oscar ma都食學生妹啦，唔通佢又似咁既人咩？']",14,0,355930,2017,8,打壓
12,2017年8月11日 15:35:16,"['', '咁都話打手，唔係掛，我邊隻字支持校方？', '', '我只係睇完個情節之後覺得奇怪，打份咁既牛工要搞到傷人恐嚇係咪傻撚左，既然咁鐘意圍爐自己討論又唔比人問既咪自己圍飽佢.', '', '唔再覆', '', '屌你老味，咪撚再覆呀on9仔，一睇你d留言就以為自己懶係神探咁撚樣款，你d語氣叫懷疑咩？乜撚野驚炒車呀？你咁撚樣語氣問人野？你係撚個呀？有爺生無老母教你呀？']",14,0,355930,2017,8,打壓
13,2017年8月11日 11:40:54,"['推!', '有無試過寫上民主牆, 雖然無咩用, 但起碼多個機會俾更多人知']",16,2,355930,2017,8,打壓
14,2017年8月11日 20:50:46,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '', '你係咪對錯號入座', '邊撚到講過港大生', '知咁多嘢即係識入面d人幫手講嘢la 仲要1999', '打手味濃']",14,1,355930,2017,8,打壓
15,2017年8月11日 13:12:30,"['岩岩先升上全球第一 大學 hotel management', '咁快整獲咁既野落黎']",13,1,355930,2017,8,打壓
16,2017年8月11日 20:54:53,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '甘你老母', '仲自己係shtm學生 字都唔撚識打 死番去讀小學啦 咪撚影衰其他係shtm 畢業既', '你d 濕鳩理由講出黎都笑撚死人', '巴打漏咗：', '吾你老母', '系你老母', '', '不過漏都正常', '咁多5p字', '無人想睇落去']",11,0,355930,2017,8,打壓
17,2017年8月12日 02:21:20,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '吾你老母咩，咁你都好意思話自己大學畢業？我覺得你先係真正影衰poly']",10,0,355930,2017,8,打壓
18,2017年8月11日 12:38:32,"['Icon Bistro?', '你比錢搵律師同你報案啦，警察態度180度會轉變', '100% 要咁做', '要記住，Poly同警方一定會叫你和解，千其唔好表示有任何意思想和解。', '因為之後你想再投訴，就會以你已作和解為由決絕。', 'Btw, 同Poly同警方有任何接觸都要作記錄，可以用埋錄音都唔怕。冇記錯香港係可以係唔使通知對方下錄音。', '', 'Btw，夢見電視劇D主角會錄到唔少對方誤導，引導，甚至恐嚇既說話，然後會放上court播', '', '如果你依單野係美國發生，首先學校賠錢，鬼婆，其他同事要賠錢，洲政府要代警方賠錢，而且有哂醫療記錄，最少係千萬港紙起跳，大把律師幫你搞。不過香港就另一回事啦。', '', '唔記得一提，學校咁大CCTV，全部都係線索同證據，eg lift門口暈低，甚至廚房CCTV可能影到比人圍住，又或者坐電梯入過去老細office傾點處理件事，都可以增加事件既真實性。', '你媽咪有冇同醫生講過依件事，有既話醫生係重要證人，記得搵醫生問番，同埋要記錄呀。', '', '成日夢見電視劇D證人會比人嚇幾嚇，上court既口供完全變哂，所以第一手時間攞料最重要呀。另外都夢見CCTV會成日壞，冇哂野。但要攞cctv就要靠警方。', '', '所以呢，最好都係依間搵定律師資料，聽朝拿拿臨去搵佢地。']",12,2,355930,2017,8,打壓
19,2017年8月11日 20:56:55,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '喂 語癌企開啲啦 屌你老母 仲話大學生 笑撚死人咩', '淨系識講粗口，就吾系語癌？？', '開新ac', '你係咪搞人呀媽個個呀']",9,0,355930,2017,8,打壓
20,2017年8月11日 13:24:50,"['顯示更多', '', '請問我可以加咩料？拎阿媽黎講笑？', '點知，不過你的版本好難以置信。問清楚d費事撞車。', '', '同埋個女上司掟傷你啊媽果時點解唔報警？', '唔知不如唔好亂講個人都掟暈掟傷左點報警呀？當時冇人幫佢call白車，而係帶佢去學校醫務所，個醫生話要去醫院先搭的士去。啲的士錢仲要阻撓唔俾佢claim翻', '唔好曬時間理啲戇鳩仔', '條友都唔知係咪紅磚請返嚟嘅打手']",10,1,355930,2017,8,打壓
21,2017年8月11日 21:36:21,['呢d就唔搞大佢，d咩獸醫笑下毒撚就推左幾個post'],9,1,355930,2017,8,打壓
