,time,text,support,against,post_id,year,month,keyword
22,2017年8月11日 21:02:04,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '', '我覺得你講既野同樓主講既野無衝突wor', '完全反駁唔到d咩', '', '係咩', '你fg 幾多？個撚個港大生一畢業就夠錢養老母？', '之後都係嗰句，一定要靚女先會俾人非禮係咩邏輯？']",9,1,355930,2017,8,打壓
23,2017年8月11日 20:53:35,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '嘩，啲5p字多到睇唔明']",8,0,355930,2017,8,打壓
24,2017年8月11日 20:49:23,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '甘你老母', '仲自己係shtm學生 字都唔撚識打 死番去讀小學啦 咪撚影衰其他係shtm 畢業既', '你d 濕鳩理由講出黎都笑撚死人']",10,2,355930,2017,8,打壓
25,2017年8月12日 00:17:36,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '我屌你老母', '咁撚多5p字', '仆你個臭街']",7,0,355930,2017,8,打壓
26,2017年8月11日 20:51:28,"['理工大學酒店本身就好出名出人才，你甘樣打一打，好影響間學校', '', '見到呢件事，我好想出聲', '', '我系呢個學系嘅畢業生，都明有邊個吾想睇新聞食花生，但有腦嘅大家都要調轉諗一諗。。', '', '1.酒店甘多靚女佢吾搞，搞你媽媽？你媽媽一定好靚，呢個我吾知', '', '2.間餐廳甘多人，如果你媽媽真系俾經理搞，D洗碗同事無理由吾做證人，有邊個想成為下一個？PS.據我所知，除左廚房外，樓面都好多同事，個個都系有文化嘅人，如果件事系真，我相信個經理都無面系度再做', '', '3.其實我讀緊嘅時候，你媽媽都出名懶，相比起樓上自助餐嘅洗碗，樓下洗碗本身好輕鬆，好少野洗，但我地上堂Training個陣，就講是非多過洗碗，俾碟or工具佢洗就，就西口西面，好似得罪左佢甘。。。我諗有上過F&B嘅同學都經歷過。。。***好多同學都睇吾過眼', '', '4.其實學校好多人都知，封所謂嘅道歉信，吾系道歉搞你啊媽，系道歉不必要嘅誤會', 'Upload 封信睇下，就一目了然', '', '5.最後，如果我系你媽媽，而又真系俾人搞，我吾會繼續做，但會繼續報。如果我系佢個女，我都吾會繼續俾媽媽做，港大學生應該有能力養媽媽掛？', '', '如果你話你媽媽慘，其實個經理好似仲慘', '', '其實所謂嘅公道 公義 ，吾系打一篇一面倒嘅文章，用網民食花生嘅角度去評論，希望我打完，其他人會諗多小小，我吾想美好啲大學環境，掛上呢個負面嘅評價', '', '我覺得你講既野同樓主講既野無衝突wor', '完全反駁唔到d咩']",7,0,355930,2017,8,打壓
27,2021年1月13日 09:51:51,"['', '', '真。用家問題', '此post已完', '259']",1,1,2365332,2021,1,打壓
28,2021年1月13日 09:49:52,"['可以自己較', '此post已完']",178,2,2365332,2021,1,打壓
29,2021年1月13日 09:53:04,"['可以自己較', '掟左個IPHONE佢算啦']",45,1,2365332,2021,1,打壓
30,2021年1月13日 10:02:36,"['cctoy弱智真多', '42']",4,3,2365332,2021,1,打壓
31,2021年1月13日 10:46:06,"['cctoy弱智真多', '乜柒都cctoy，你入時事台係咪又係弱智個班cctoy', '佢話弱智真多', '唔係話全部弱智', '你咁樣應你係屬於邊邊？', '19']",1,3,2365332,2021,1,打壓
32,2021年1月13日 10:29:14,"['cctoy弱智真多', 'CCToys 平均智商低於80']",10,1,2365332,2021,1,打壓
33,2021年1月13日 10:28:15,"['cctoy 果然無令我失望。', '從一而終 都係咁弱智。']",9,1,2365332,2021,1,打壓
34,2021年1月13日 11:00:42,"['cctoy弱智真多', '乜柒都cctoy，你入時事台係咪又係弱智個班cctoy', '佢話弱智真多', '唔係話全部弱智', '你咁樣應你係屬於邊邊？', '阿迷x cctoy', 'What do u expect', '8']",1,1,2365332,2021,1,打壓
35,2021年1月13日 10:00:38,"['Apple 奶共', '仲用iPhone？', '你係唔係pr?']",9,2,2365332,2021,1,打壓
36,2021年1月13日 09:57:43,['....'],6,0,2365332,2021,1,打壓
37,2021年1月13日 10:23:56,"['Apple deep state', 'CCToys又逼害妄想症發作呀', '4']",0,1,2365332,2021,1,打壓
38,2021年1月13日 12:23:02,['Iphone打壓智障'],3,0,2365332,2021,1,打壓
39,2021年1月13日 10:48:47,"['cctoy弱智真多', '乜柒都cctoy，你入時事台係咪又係弱智個班cctoy', '佢話弱智真多', '唔係話全部弱智', '你咁樣應你係屬於邊邊？', '秒']",4,1,2365332,2021,1,打壓
40,2021年1月13日 09:58:29,"['幫樓主拉啦', '4']",1,2,2365332,2021,1,打壓
41,2021年1月13日 11:46:56,"['', '', '真。用家問題', '此post已完', '', '', '仲可以set埋次序']",2,0,2365332,2021,1,打壓
42,2021年1月13日 10:15:13,"['念在OP有份𨳒白左同35+份上', '我斯文啲咁答OP：可以自己較嘅，自己研究下', '3']",1,1,2365332,2021,1,打壓
43,2021年1月13日 10:46:00,"['念在OP有份𨳒白左同35+份上', '我斯文啲咁答OP：可以自己較嘅，自己研究下', '睇返之前講嘅嘢正常過好多連登新移民', '一時柒左姐']",1,0,2365332,2021,1,打壓
44,2021年1月13日 10:35:41,"['智障兒童都上連登', '1']",0,1,2365332,2021,1,打壓
45,2021年1月13日 10:29:02,['戇鳩唔好用電話'],1,0,2365332,2021,1,打壓
46,2021年1月13日 10:24:23,['唔識英文就轉返中文易睇啲啦'],1,0,2365332,2021,1,打壓
47,2020年6月30日 04:53:50,"['畀人打壓 我地要點？', '班廢柴']",0,0,2086481,2020,6,打壓
48,2020年6月30日 04:50:56,"['屌你啦', '0']",0,1,2086481,2020,6,打壓
49,2020年6月30日 04:50:44,['頑強呀'],0,0,2086481,2020,6,打壓
50,2020年6月30日 04:44:32,"['https://lihkg.com/thread/2086300/page/1', '', '係時候到我地守護番正義女神']",0,0,2086481,2020,6,打壓
51,2020年6月30日 04:43:38,"['畀人打壓 我地要點？', '0']",0,1,2086481,2020,6,打壓
52,2019年7月4日 22:46:55,"['強国成日有礦難 有強徵土地 武力鎮壓', '你估大陸人唔知咩', '點解佢地幾十年黎都係咁過?', '大陸人會願意為私人財產同利益而抗爭', '會為自己比共產党捉左嘅仔女老公申冤', '但我覺得唔會肯為左民主自由而革命', '佢地經歷幾十年政治災難', '到依家先開始有安穩同算係富有嘅生活', '如果唔係有人搞到佢地連生活都有問題 邊有人會冒住生命危險同埋安穩生活出黎抗爭', '佢地係大陸住左幾十年 都深知共狗嘅可怕', '所以我覺得向大陸人宣傳嘅話 唔使做太用煽動嘅野 廢事有一種危言聳聽 扇風點火嘅感覺 反而更令人反感', '如實將我地做緊嘅野同原因宣傳過去就夠']",1,0,1286816,2019,7,打壓
53,2019年7月4日 22:32:34,"['五毛可以用武漢分化我地，我地都可以利用武漢將把火燒上大陸，但記住唔係幫武漢，77當日要集中係五大訴求先', '', '']",0,0,1286816,2019,7,打壓
54,2019年12月19日 21:49:49,"['手足,好難得有個黃色既旅行社', '唔好放棄呀']",192,2,1790432,2019,12,打壓
55,2019年12月19日 22:02:04,"['標題可能寫埋因為政治問題被打壓會好啲', '108']",1,4,1790432,2019,12,打壓
56,2019年12月19日 22:57:55,"['有次遊行見到你地帶著番鬼佬講解 班鬼佬仲係度take notes 加油 幫推', '42']",0,2,1790432,2019,12,打壓
57,2019年12月19日 22:27:33,"['我唔明WOR', 'AIRBNB係專比人搵住宿', '點解你個行街講解要比你上架?', '佢有一個新嘅服務叫Airbnb Experience. 係畀人做埋tour.']",43,1,1790432,2019,12,打壓
58,2019年12月19日 22:20:16,['搵個founder Facebook twitter 重快'],39,1,1790432,2019,12,打壓
59,2019年12月19日 23:05:49,"['表面上似唔想涉入政治 但更加似驚得失大陸客生意', '民宿一向好多大陸哩入住 亦有好多大陸人買完外地樓提供民宿供應', '27']",0,2,1790432,2019,12,打壓
60,2019年12月19日 21:59:58,['光復香港 時代革命'],26,2,1790432,2019,12,打壓
61,2019年12月19日 23:23:30,"['有次遊行見到你地帶著番鬼佬講解 班鬼佬仲係度take notes 加油 幫推', '香港旅遊書只會介紹女人街廟街呢啲假景點(仲要有旅發局推介)', '搞到班鬼佬以為香港淨係得老翻同街頭妓女']",23,0,1790432,2019,12,打壓
62,2019年12月19日 22:05:02,['有冇咩條款話唔可以介紹歷史？'],20,0,1790432,2019,12,打壓
63,2019年12月19日 23:19:36,"['我唔明WOR', 'AIRBNB係專比人搵住宿', '點解你個行街講解要比你上架?', '你太out', '依家佢做book房 訂飛 餐飲 講解/深度遊 呢4範', '17']",0,1,1790432,2019,12,打壓
64,2019年12月19日 22:21:46,['講歷史都唔得？大家幫手send email'],15,0,1790432,2019,12,打壓
65,2019年12月19日 22:35:03,"['', '', '第一張圖係九月嘅時候佢唔批我個團', '冇畀原因']",12,0,1790432,2019,12,打壓
66,2019年12月19日 22:01:27,['幫你推一推'],9,0,1790432,2019,12,打壓
67,2019年12月19日 23:33:51,"['標題可能寫埋因為政治問題被打壓會好啲', '已send email, 我覺得唔寫投訴政治打壓好啲', '佢可以覆airbnb platform唔容許政治宣傳balabala', '要針對個point係唔容許向visitor展示當地嘅文化同歷史，有違AirBnB作為深度文化交流平台嘅理念', '8']",0,2,1790432,2019,12,打壓
68,2019年12月19日 22:38:18,"['', '', '最後一張圖係我以管理人身份, 睇到個團係""被Airbnb刪除""']",8,0,1790432,2019,12,打壓
69,2019年12月19日 23:00:31,"['去外國都join過呢啲free tour', '但唔係喺airbnb搵', '喺airbnb未上番你地架嗰陣放去其他外國網']",7,0,1790432,2019,12,打壓
70,2019年12月19日 22:36:24,"['', '', '第二張圖係十月嘅時候, 我個團嘅名係叫“Learning Hong Kong with Local"". 最後佢批咗']",7,0,1790432,2019,12,打壓
71,2019年12月19日 22:37:23,"['', '', '第三張圖係佢message我, 下架原因係“錯誤地上咗架”']",6,0,1790432,2019,12,打壓
72,2019年12月20日 02:27:57,"['有次遊行見到你地帶著番鬼佬講解 班鬼佬仲係度take notes 加油 幫推', '我都係十月嗰時喺西九戲曲中心出面見到', '中學嗰時睇到你放棄精算師做導遊啟發咗我讀旅遊', '5']",0,1,1790432,2019,12,打壓
73,2019年12月19日 23:11:51,"['呢個係我哋Facebook page自己嘅message. 麻煩大家share！', '', 'https://m.facebook.com/story.php?story_fbid=913311659064616&id=212521775810278', '5']",0,2,1790432,2019,12,打壓
74,2019年12月19日 23:22:09,"['不如你參加下聽下我哋講, 之後再睇下係咪聽執笠. Thanks', '4']",0,1,1790432,2019,12,打壓
75,2019年12月19日 22:23:36,"['試吓翻譯英文post 上twitter 先？', '', '幫推', '4']",0,3,1790432,2019,12,打壓
76,2021年9月7日 09:41:32,['屌你有需要幫手方便睇下附近有冇警察唔得？'],0,0,2688328,2021,9,打壓
77,2021年9月4日 10:36:00,['唔知、睇唔到、扮唔記得、繼續用藍蘋果'],5,5,2688328,2021,9,打壓
78,2021年9月4日 07:33:17,"['蘋果公司將一款地圖程式下架\u3000稱違法及可用於伏擊警察', '', '蘋果公司表示，HKmap.live應用程式的使用已危害到執法人員和香港市民，違反了公司的準則和本地法律，已將其從App Store中刪除。蘋果公司回覆查詢時表示，香港很多用戶與他們聯繫後，公司立即開始調查該應用程式，發現該應用程式顯示警察的位置；公司與香港網絡安全及科技罪案調查科進行核實，該應用程式被用於定位和伏擊警察，威脅到公共安全，非法分子在沒有警察執法的地方使用它來傷害市民。', '', '2019-10-10 15:34:05']",9,16,2688328,2021,9,打壓
79,2020年5月3日 23:36:36,"['香港首條線上書店List上線喇！', 'https://lih.kg/2000672', '- 分享自 LIHKG 討論區']",0,0,2000600,2020,5,打壓
