"調查開始日期Survey Start Date","調查結束日期Survey End Date","樣本人數Total Sample","次樣本人數Sub Sample","回應率Response Rate","廉潔Corruption free Practices","標準誤差Standard Error","評分人數Number of Raters","認知率Recognition Rate","備註Remark"
"2023-08-01","2023-08-10","1,005","515","54.5%","5.71","0.11","496","96.4%",""
"2023-02-01","2023-02-09","1,017","532","58.0%","6.29","0.11","507","95.4%",""
"2022-08-01","2022-08-09","1,004","526","58.6%","5.86","0.11","501","95.3%",""
"2022-02-07","2022-02-10","1,012","549","58.1%","5.25","0.12","531","96.7%",""
"2021-08-09","2021-08-12","1,002","643","49.4%","5.04","0.12","621","96.5%",""
"2021-02-02","2021-02-05","1,018","658","62.9%","5.00","0.11","622","94.6%",""
"2020-07-06","2020-07-09","1,001","630","52.4%","4.98","0.12","610","96.9%",""
"2020-04-14","2020-04-17","1,005","624","64.5%","4.98","0.12","606","97.1%",""
"2019-09-16","2019-09-19","1,061","716","69.5%","5.12","0.10","685","95.7%",""
"2019-05-06","2019-05-09","1,018","594","63.2%","6.43","0.10","579","97.5%",""
"2018-05-04","2018-05-09","1,017","1,017","59.5%","6.59","0.07","999","98.2%",""
"2018-01-15","2018-01-18","1,035","634","63.6%","6.30","0.09","610","96.3%",""
"2017-07-10","2017-07-13","1,030","643","53.3%","6.74","0.08","636","99.0%","*"
"2017-02-06","2017-02-09","1,029","600","70.5%","6.17","0.09","586","97.7%",""
"2016-07-18","2016-07-21","1,013","648","73.6%","5.95","0.09","626","96.6%",""
"2016-02-15","2016-02-18","1,026","626","66.8%","6.36","0.09","609","97.2%",""
"2015-07-20","2015-07-23","1,010","550","66.4%","6.39","0.09","532","96.6%",""
"2015-02-09","2015-02-12","1,019","641","69.1%","6.48","0.07","624","97.4%",""
"2014-07-21","2014-07-24","1,017","649","68.3%","6.25","0.08","622","95.9%",""
"2014-02-07","2014-02-12","1,031","573","68.0%","6.61","0.08","558","97.4%",""
"2013-07-30","2013-08-01","1,027","611","66.9%","6.37","0.08","598","97.8%",""
"2013-02-04","2013-02-14","1,023","612","65.1%","6.68","0.08","589","96.2%",""
"2012-08-07","2012-08-15","1,040","512","64.2%","6.64","0.09","503","98.1%",""
"2012-02-13","2012-02-16","1,007","582","65.8%","7.37","0.07","562","96.5%",""
"2011-08-15","2011-08-19","1,005","601","66.1%","7.32","0.07","574","95.4%",""
"2011-02-09","2011-02-17","1,035","512","65.9%","7.26","0.08","491","96.0%",""
"2010-08-10","2010-08-13","1,007","544","61.3%","7.21","0.07","527","96.9%",""
"2010-02-04","2010-02-09","1,060","515","67.3%","7.18","0.07","497","96.5%",""
"2009-08-11","2009-08-16","1,006","1,006","70.9%","6.96","0.06","991","98.5%",""
"2009-02-10","2009-02-12","1,011","1,011","67.0%","6.93","0.06","980","96.9%",""
"2008-08-11","2008-08-14","1,016","1,016","69.8%","7.20","0.06","987","97.2%",""
"2008-02-12","2008-02-14","1,028","1,028","70.2%","7.30","0.05","972","94.6%",""
"2007-08-20","2007-08-24","1,010","1,010","65.2%","7.29","0.05","978","96.9%",""
"2007-02-22","2007-02-26","1,014","1,014","60.2%","7.25","0.05","979","96.5%",""
"2006-08-21","2006-08-23","1,019","1,019","57.7%","6.94","0.05","995","97.7%",""
"2006-02-17","2006-02-21","1,017","1,017","60.9%","7.08","0.05","991","97.4%",""
"2005-10-25","2005-10-29","1,017","1,017","63.5%","7.09","0.05","970","95.4%",""
"2005-07-18","2005-07-20","1,008","1,008","62.6%","6.80","0.06","966","95.8%",""
"2005-04-18","2005-04-21","1,012","1,012","66.7%","7.15","0.05","961","95.0%",""
"2005-01-17","2005-01-19","1,022","1,022","64.8%","7.07","0.06","975","95.4%",""
"2004-10-18","2004-10-21","1,011","1,011","63.3%","7.04","0.06","960","95.0%",""
"2004-07-19","2004-07-21","1,031","1,031","63.8%","6.80","0.06","984","95.4%",""
"2004-04-19","2004-04-22","1,029","1,029","61.1%","6.83","0.06","980","95.2%",""
"2004-01-09","2004-01-12","1,026","1,026","64.6%","6.87","0.06","989","96.4%",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","6.90","0.06","936","92.0%",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","6.68","0.06","1,004","93.6%",""
"2003-04-16","2003-04-23","1,021","1,021","68.9%","6.87","0.06","932","91.3%",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","6.88","0.06","967","92.2%",""
"2002-10-13","2002-10-16","1,028","1,028","63.0%","6.90","0.05","929","90.4%",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","6.82","0.06","924","86.5%",""
"2002-04-02","2002-04-08","1,017","1,017","63.5%","6.83","0.06","897","88.2%",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","6.62","0.06","954","91.2%",""
"2001-10-05","2001-10-08","1,051","1,051","63.5%","6.68","0.06","959","91.2%",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","6.73","0.06","961","91.4%",""
"2001-04-18","2001-04-30","1,082","1,082","73.1%","6.69","0.06","999","92.3%",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","6.60","0.06","959","91.7%",""
"2000-10-03","2000-10-09","1,067","1,067","59.8%","6.41","0.06","952","89.2%",""
"2000-07-06","2000-07-10","1,058","1,058","53.3%","6.55","0.06","958","90.5%",""
"2000-05-05","2000-05-18","1,060","1,060","50.0%","6.85","0.05","1,010","95.3%",""
"2000-03-01","2000-03-01","517","517","57.6%","6.74","0.08","479","92.6%",""
"2000-01-11","2000-01-12","519","519","53.6%","6.69","0.08","486","93.6%",""
"2000-01-04","2000-01-04","535","535","54.2%","6.75","0.08","499","93.3%",""
"1999-11-01","1999-11-02","543","543","51.7%","6.60","0.07","511","94.1%",""
"1999-09-10","1999-09-13","576","576","45.2%","6.66","0.08","552","95.8%",""
"1999-07-05","1999-07-05","527","527","48.2%","6.72","0.08","508","96.4%",""
"1999-05-04","1999-05-04","536","536","49.5%","6.83","0.08","518","96.6%",""
"1999-03-02","1999-03-02","510","510","52.5%","6.92","0.07","497","97.5%",""
"1999-01-05","1999-01-05","544","544","46.0%","6.77","0.07","514","94.5%",""
"1998-11-04","1998-11-05","511","511","48.1%","6.75","0.07","494","96.7%",""
"1998-09-01","1998-09-01","507","507","45.5%","6.73","0.07","483","95.3%",""
"1998-07-07","1998-07-07","532","532","48.1%","6.85","0.07","498","93.6%",""
"1998-05-05","1998-05-05","542","542","47.9%","6.35","0.08","498","91.9%",""
"1998-03-02","1998-03-02","527","527","46.1%","6.73","0.07","495","93.9%",""
"1998-01-06","1998-01-06","520","520","47.9%","6.70","0.07","467","89.8%",""
"1997-11-04","1997-11-05","523","523","47.3%","6.74","0.07","473","90.4%",""
"1997-07-29","1997-07-30","564","564","39.7%","6.86","0.07","529","93.8%",""
"1997-06-25","1997-06-25","548","548","46.7%","7.02","0.07","504","92.0%",""