"調查開始日期Survey Start Date","調查結束日期Survey End Date","樣本人數Total Sample","次樣本人數Sub Sample","回應率Response Rate","法治程度The Rule of Law","標準誤差Standard Error","評分人數Number of Raters","認知率Recognition Rate","備註Remark"
"2023-08-01","2023-08-10","1,005","522","54.5%","5.58","0.12","512","98.0%",""
"2023-05-03","2023-05-18","1,003","499","52.4%","5.53","0.13","488","97.9%",""
"2023-02-01","2023-02-09","1,017","518","58.0%","6.14","0.13","495","95.5%",""
"2022-11-02","2022-11-10","1,001","515","48.9%","5.20","0.13","503","97.7%",""
"2022-08-01","2022-08-09","1,004","505","58.6%","5.74","0.13","487","96.3%",""
"2022-05-31","2022-06-05","1,000","575","39.8%","4.85","0.12","569","98.9%",""
"2022-04-30","2022-05-06","1,000","604","41.5%","5.03","0.12","577","95.5%",""
"2022-04-04","2022-04-07","1,014","619","49.8%","5.14","0.11","590","95.3%",""
"2022-03-07","2022-03-11","1,000","597","51.5%","4.36","0.12","590","98.8%",""
"2022-02-07","2022-02-10","1,012","673","58.1%","5.13","0.12","656","97.5%",""
"2022-01-03","2022-01-06","1,021","621","52.7%","4.34","0.13","610","98.2%",""
"2021-11-29","2021-12-03","1,001","595","44.9%","4.59","0.13","577","97.1%",""
"2021-10-29","2021-11-03","1,004","594","50.1%","4.87","0.13","568","95.7%",""
"2021-10-04","2021-10-07","1,010","603","62.9%","4.86","0.13","580","96.3%",""
"2021-09-06","2021-09-10","1,000","597","44.2%","4.64","0.13","580","97.3%",""
"2021-08-09","2021-08-12","1,002","662","49.4%","5.06","0.12","639","96.5%",""
"2021-06-30","2021-07-08","1,003","591","46.4%","4.48","0.13","581","98.4%",""
"2021-06-07","2021-06-10","1,008","619","55.1%","4.39","0.13","604","97.6%",""
"2021-05-03","2021-05-07","1,013","608","55.5%","4.01","0.13","587","96.4%",""
"2021-04-07","2021-04-09","1,003","594","50.1%","4.40","0.13","576","96.8%",""
"2021-03-08","2021-03-12","1,001","652","47.6%","3.92","0.13","637","97.7%",""
"2021-02-02","2021-02-05","1,018","649","62.9%","4.50","0.12","629","96.9%",""
"2021-01-04","2021-01-08","1,000","608","58.5%","3.80","0.13","594","97.7%",""
"2020-12-07","2020-12-10","1,009","605","70.0%","4.01","0.13","581","96.1%",""
"2020-11-09","2020-11-13","1,005","579","63.9%","4.05","0.13","569","98.4%",""
"2020-10-19","2020-10-22","1,020","625","62.2%","3.82","0.12","601","96.1%",""
"2020-08-31","2020-09-04","1,007","606","58.4%","3.41","0.13","594","98.1%",""
"2020-08-03","2020-08-06","1,001","608","64.4%","3.80","0.12","589","97.0%",""
"2020-07-06","2020-07-09","1,001","599","52.4%","4.14","0.14","579","96.7%",""
"2020-04-14","2020-04-17","1,005","649","64.5%","4.51","0.12","636","97.9%","$"
"2019-09-16","2019-09-19","1,061","669","69.5%","4.41","0.11","646","96.6%",""
"2019-05-06","2019-05-09","1,018","602","63.2%","6.20","0.10","589","97.9%",""
"2018-10-22","2018-10-24","1,006","523","63.4%","6.21","0.09","504","96.3%","@"
"2018-05-04","2018-05-09","1,017","1,017","59.5%","6.74","0.06","1,007","99.0%",""
"2018-01-15","2018-01-18","1,035","631","63.6%","6.29","0.09","618","97.9%",""
"2017-07-10","2017-07-13","1,030","610","53.3%","6.98","0.08","581","95.2%","*"
"2017-02-06","2017-02-09","1,029","633","70.5%","6.63","0.08","621","98.2%",""
"2016-07-18","2016-07-21","1,013","574","73.6%","6.19","0.09","559","97.4%",""
"2016-02-15","2016-02-18","1,026","604","66.8%","6.45","0.09","579","95.9%",""
"2015-07-20","2015-07-23","1,010","563","66.4%","6.56","0.09","549","97.6%",""
"2015-02-09","2015-02-12","1,019","607","69.1%","6.67","0.08","596","98.1%",""
"2014-07-21","2014-07-24","1,017","651","68.3%","6.65","0.08","629","96.6%",""
"2014-02-07","2014-02-12","1,031","548","68.0%","6.91","0.08","536","97.7%",""
"2013-07-30","2013-08-01","1,027","596","66.9%","6.95","0.08","586","98.3%",""
"2013-02-04","2013-02-14","1,023","603","65.1%","6.99","0.08","583","96.6%",""
"2012-08-07","2012-08-15","1,040","545","64.2%","7.26","0.08","529","97.1%",""
"2012-02-13","2012-02-16","1,007","570","65.8%","7.18","0.07","548","96.3%",""
"2011-08-15","2011-08-19","1,005","612","66.1%","7.13","0.07","591","96.5%",""
"2011-02-09","2011-02-17","1,035","548","65.9%","6.99","0.08","539","98.4%",""
"2010-08-10","2010-08-13","1,007","1,007","61.3%","6.61","0.06","979","97.2%",""
"2010-02-04","2010-02-09","1,060","1,060","67.3%","6.88","0.06","1,035","97.6%",""
"2009-08-11","2009-08-16","1,006","1,006","70.9%","6.74","0.06","985","97.9%",""
"2009-02-10","2009-02-12","1,011","1,011","67.0%","6.78","0.06","991","98.1%",""
"2008-08-11","2008-08-14","1,016","1,016","69.8%","6.87","0.06","985","96.9%",""
"2008-02-12","2008-02-14","1,028","1,028","70.2%","6.69","0.06","987","96.0%",""
"2007-08-20","2007-08-24","1,010","1,010","65.2%","7.07","0.06","973","96.3%",""
"2007-02-22","2007-02-26","1,014","1,014","60.2%","7.00","0.05","989","97.5%",""
"2006-08-21","2006-08-23","1,019","1,019","57.7%","6.74","0.06","998","97.9%",""
"2006-02-17","2006-02-21","1,017","1,017","60.9%","6.89","0.05","982","96.6%",""
"2005-10-25","2005-10-29","1,017","1,017","63.5%","6.88","0.05","973","95.7%",""
"2005-07-18","2005-07-20","1,008","1,008","62.6%","6.70","0.06","961","95.3%",""
"2005-04-18","2005-04-21","1,012","1,012","66.7%","6.70","0.05","970","95.8%",""
"2005-01-17","2005-01-19","1,022","1,022","64.8%","6.73","0.06","974","95.3%",""
"2004-10-18","2004-10-21","1,011","1,011","63.3%","6.71","0.06","965","95.5%",""
"2004-07-19","2004-07-21","1,031","1,031","63.8%","6.42","0.06","978","94.9%",""
"2004-04-19","2004-04-22","1,029","1,029","61.1%","6.27","0.06","972","94.5%",""
"2004-01-09","2004-01-12","1,026","1,026","64.6%","6.59","0.06","977","95.2%",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","6.50","0.06","960","94.4%",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","6.43","0.06","1,022","95.2%",""
"2003-04-16","2003-04-23","1,021","1,021","68.9%","6.51","0.06","943","92.4%",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","6.66","0.06","974","92.9%",""
"2002-10-13","2002-10-16","1,028","1,028","63.0%","6.61","0.06","940","91.4%",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","6.56","0.05","958","89.7%",""
"2002-04-02","2002-04-08","1,017","1,017","63.5%","6.71","0.06","921","90.6%",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","6.58","0.05","971","92.8%",""
"2001-10-05","2001-10-08","1,051","1,051","63.5%","6.27","0.06","947","90.1%",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","6.49","0.05","951","90.5%",""
"2001-04-18","2001-04-30","1,082","1,082","73.1%","6.28","0.06","1,006","93.0%",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","6.26","0.06","961","91.9%",""
"2000-10-03","2000-10-09","1,067","1,067","59.8%","6.09","0.06","924","86.6%",""
"2000-07-06","2000-07-10","1,058","1,058","53.3%","6.20","0.06","944","89.2%",""
"2000-05-05","2000-05-18","1,060","1,060","50.0%","6.59","0.06","990","93.4%",""
"2000-03-01","2000-03-01","517","517","57.6%","6.60","0.08","487","94.2%",""
"2000-01-11","2000-01-12","519","519","53.6%","6.46","0.08","490","94.4%",""
"2000-01-04","2000-01-04","535","535","54.2%","6.44","0.08","501","93.6%",""
"1999-11-01","1999-11-02","543","543","51.7%","6.32","0.08","512","94.3%",""
"1999-09-10","1999-09-13","576","576","45.2%","6.30","0.07","543","94.3%",""
"1999-07-05","1999-07-05","527","527","48.2%","6.11","0.09","498","94.5%",""
"1999-05-04","1999-05-04","536","536","49.5%","6.48","0.08","517","96.5%",""
"1999-03-02","1999-03-02","510","510","52.5%","6.68","0.08","494","96.9%",""
"1999-01-05","1999-01-05","544","544","46.0%","6.87","0.06","528","97.1%",""
"1998-11-04","1998-11-05","511","511","48.1%","6.78","0.07","491","96.1%",""
"1998-09-01","1998-09-01","507","507","45.5%","6.74","0.07","482","95.1%",""
"1998-07-07","1998-07-07","532","532","48.1%","6.90","0.07","488","91.7%",""
"1998-05-05","1998-05-05","542","542","47.9%","6.35","0.08","506","93.4%",""
"1998-03-02","1998-03-02","527","527","46.1%","6.76","0.07","493","93.5%",""
"1998-01-06","1998-01-06","520","520","47.9%","6.74","0.07","482","92.7%",""
"1997-11-04","1997-11-05","523","523","47.3%","6.68","0.07","470","89.9%",""
"1997-10-28","1997-10-29","536","536","44.5%","6.90","0.06","514","95.9%",""
"1997-09-23","1997-09-24","511","511","41.6%","7.15","0.07","493","96.5%",""
"1997-08-26","1997-08-27","532","532","42.4%","7.15","0.07","495","93.0%",""
"1997-07-29","1997-07-30","564","564","39.7%","6.95","0.07","513","91.0%",""
"1997-06-25","1997-06-25","548","548","46.7%","7.17","0.07","519","94.7%",""